Genes,SS_F_IN_R1_111756,SS_F_IN_R1_111757,SS_M_IN_R1_111761,SS_M_IN_R1_111762,SN_F_IN_R1_111637,SN_F_IN_R1_111646,SN_F_IN_R1_111647,SN_M_IN_R1_111627,SN_M_IN_R1_111630,MS_F_IN_R1_111642,MS_F_IN_R1_111644,MS_M_IN_R1_111618,MS_M_IN_R1_111633,MN_F_IN_R1_111614,MN_F_IN_R1_111615,MN_F_IN_R1_111623,MN_M_IN_R1_AO425
Galr3,1,0,3,1,3,0,3,1,2,0,1,2,2,1,0,0,1
AA066038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC117188.1,0,0,3,0,2,3,0,0,0,2,0,3,3,0,0,0,0
AC168054.2,1,1,2,1,1,2,1,6,3,2,1,0,0,2,1,1,0
Gm9919,0,0,4,6,0,0,0,0,0,0,1,2,2,0,0,2,0
AC166710.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AL669898.7,83,64,49,46,74,65,63,75,37,61,63,78,78,59,84,79,86
CU682339.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC175315.1,3,2,3,3,6,3,3,5,2,2,3,4,4,3,4,3,3
CU041251.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC121905.4,0,28,23,33,25,19,14,0,3,22,25,26,26,25,21,28,28
CAAA01154301.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC154343.1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0
CR550303.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC182748.1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1
AC174648.1,48,46,44,47,46,51,46,48,48,49,42,50,50,41,51,46,61
AC244695.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX890553.6,27,38,36,11,40,36,29,41,13,24,33,27,27,45,55,62,55
AC182748.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC139209.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC121298.1,8,10,13,6,11,12,4,10,9,6,7,10,10,13,8,6,9
AL611930.7,3,3,1,3,3,4,3,2,2,3,2,2,2,2,3,3,5
AC244695.2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC162446.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC170751.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC240971.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL593853.1,9,10,7,12,10,10,12,11,13,15,13,12,12,10,12,12,10
