Probes,names_GeneCounts_,moduleColor,SS_F_IN_R1_111756,SS_F_IN_R1_111757,SS_M_IN_R1_111761,SS_M_IN_R1_111762,SN_F_IN_R1_111637,SN_F_IN_R1_111646,SN_F_IN_R1_111647,SN_M_IN_R1_111627,SN_M_IN_R1_111630,MS_F_IN_R1_111642,MS_F_IN_R1_111644,MS_M_IN_R1_111618,MS_M_IN_R1_111633,MN_F_IN_R1_111614,MN_F_IN_R1_111615,MN_F_IN_R1_111623,MN_M_IN_R1_AO425,moduleColorOld
Galr3,Galr3,Yellow Green,1,0,3,1,3,0,3,1,2,0,1,2,2,1,0,0,1,Sky Blue
AC117188.1,AC117188.1,Orange Circuit,0,0,3,0,2,3,0,0,0,2,0,3,3,0,0,0,0,Indigo
AC168054.2,AC168054.2,Steel Blue,1,1,2,1,1,2,1,6,3,2,1,0,0,2,1,1,0,Cornsilk
Gm9919,Gm9919,Scream Green,0,0,4,6,0,0,0,0,0,0,1,2,2,0,0,2,0,Razzmic Berry
AC166710.1,AC166710.1,Dandelion,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Yellow Orange
AL669898.7,AL669898.7,Timberwolf,83,64,49,46,74,65,63,75,37,61,63,78,78,59,84,79,86,Macaroni And Cheese
AC175315.1,AC175315.1,Peach,3,2,3,3,6,3,3,5,2,2,3,4,4,3,4,3,3,Big Dip O'ruby
AC121905.4,AC121905.4,Scream Green,0,28,23,33,25,19,14,0,3,22,25,26,26,25,21,28,28,Razzmic Berry
AC154343.1,AC154343.1,Orange Yellow,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,Alloy Orange
AC182748.1,AC182748.1,Orange Circuit,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,Indigo
AC174648.1,AC174648.1,Orange Circuit,48,46,44,47,46,51,46,48,48,49,42,50,50,41,51,46,61,Indigo
BX890553.6,BX890553.6,Timberwolf,27,38,36,11,40,36,29,41,13,24,33,27,27,45,55,62,55,Macaroni And Cheese
AC139209.1,AC139209.1,Fuzzy Wuzzy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Petite Rose
AC121298.1,AC121298.1,Infra Red,8,10,13,6,11,12,4,10,9,6,7,10,10,13,8,6,9,Blue Violet
AL611930.7,AL611930.7,Timberwolf,3,3,1,3,3,4,3,2,2,3,2,2,2,2,3,3,5,Macaroni And Cheese
AC244695.2,AC244695.2,Scream Green,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Razzmic Berry
AL593853.1,AL593853.1,Orange Circuit,9,10,7,12,10,10,12,11,13,15,13,12,12,10,12,12,10,Indigo
AC087064.3,AC087064.3,Red Orange,13,16,19,16,14,19,18,17,23,16,16,14,14,15,16,16,12,Goldenrod
AEKR01108343.1,AEKR01108343.1,Blush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Sea Green
AC245272.3,AC245272.3,Waterfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Blush
AL590629.2,AL590629.2,Red Orange,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Goldenrod
AC164883.1,AC164883.1,Orange Circuit,35,30,21,33,30,33,35,36,26,36,30,34,34,28,27,29,28,Indigo
Sdsl,Sdsl,Red Orange,0,1,1,1,1,1,1,2,4,2,1,2,2,2,0,1,1,Goldenrod
Fbxo48,Fbxo48,Timberwolf,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,Macaroni And Cheese
Slc16a12,Slc16a12,Scream Green,1,0,1,2,1,1,1,1,0,1,2,1,1,0,1,1,0,Razzmic Berry
Nsun7,Nsun7,Waterfall,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,4,2,Blush
Zfp748,Zfp748,Yellow Green,4,5,9,8,5,5,5,8,8,5,4,4,4,3,6,5,5,Sky Blue
Gm3383,Gm3383,Orange Circuit,1,0,1,1,0,1,1,2,2,3,2,4,4,3,4,1,2,Indigo
Dusp6,Dusp6,Olive Green,8,10,11,8,7,13,8,8,12,16,11,14,14,11,13,10,27,Waterfall
Creg1,Creg1,Orange Circuit,11,16,13,18,19,18,26,20,32,30,27,31,31,11,23,20,15,Indigo
Inpp5b,Inpp5b,Orange Circuit,10,9,8,8,6,7,10,11,9,8,12,10,10,10,12,7,8,Indigo
Slirp,Slirp,Yellow Green,43,45,30,39,28,45,50,36,54,41,44,46,46,49,52,41,27,Sky Blue
Ccdc191,Ccdc191,Peach,3,8,1,4,6,3,2,3,3,5,4,3,3,3,3,4,2,Big Dip O'ruby
